Rk,School,Conf,AP Rank,W,L,OSRS,DSRS,SRS,Scoring Off,Scoring Def,Passing Off,Passing Def,Rushing Off,Rushing Def,Total Off,Total Def
18,USC,Pac-12 (South),19,10,4,4.08,9.65,13.72,34.33,14.21,-0.25,14.01,0.85,8.14,0.57,10.45
19,Texas A&M,SEC (West),18,9,4,16.81,-3.43,13.38,48.38,28.34,0.50,15.94,1.23,9.42,1.46,12.13
20,Oklahoma,Big 12,6,11,2,6.42,6.77,13.19,37.15,17.89,-1.21,15.13,1.21,8.36,0.36,11.10
21,Georgia,SEC (East),30,8,5,13.03,-0.21,12.82,43.35,23.43,0.20,16.27,0.73,7.94,0.88,11.38
22,Arizona,Pac-12 (South),30,8,5,5.72,6.89,12.60,37.03,18.20,-1.89,15.00,1.30,8.47,0.08,11.04
23,Ole Miss,SEC (West),30,8,5,4.24,6.19,10.42,33.55,17.66,-1.34,15.19,0.60,8.08,0.11,11.04
24,Brigham Young,Ind,30,8,5,5.85,4.38,10.23,35.75,18.72,-1.96,15.25,1.15,7.97,0.01,10.97
25,Kansas State,Big 12,30,8,5,6.13,3.88,10.01,34.67,20.29,0.62,14.85,0.55,8.46,0.54,11.13
26,Louisville,American,15,12,1,-0.18,10.18,9.99,33.67,15.75,-0.22,15.01,0.18,7.55,0.50,10.63
27,Notre Dame,Ind,20,9,4,3.00,6.51,9.50,32.48,19.00,-0.74,14.63,0.85,8.29,0.59,10.84
28,UCF,American,10,12,1,6.19,2.24,8.42,35.82,22.78,0.26,15.35,0.61,8.77,0.81,11.52
29,Oregon State,Pac-12 (North),30,7,6,9.08,-0.97,8.11,38.54,25.35,-0.79,14.93,-0.23,9.53,0.65,11.58
30,Vanderbilt,SEC (East),24,9,4,4.66,3.34,8.01,32.72,22.64,-1.29,14.82,-0.67,8.69,-0.73,11.20
31,Duke,ACC (Coastal),23,10,4,6.80,1.06,7.86,36.28,23.29,-1.60,16.51,0.61,8.89,0.00,11.91
32,Mississippi State,SEC (West),30,7,6,-0.28,8.00,7.72,32.29,16.68,-1.52,14.98,0.70,8.42,0.02,11.16
33,Texas,Big 12,35,8,5,3.09,4.36,7.45,33.55,19.77,-1.60,15.05,0.35,8.41,-0.26,10.99
34,Iowa,Big Ten (Legends),35,8,5,-0.90,8.22,7.31,28.67,16.91,-1.64,14.67,0.26,7.78,-0.43,10.60
35,Georgia Tech,ACC (Coastal),35,7,6,2.01,5.19,7.21,39.02,19.61,-1.14,16.58,1.44,8.44,0.01,11.94
36,Utah,Pac-12 (South),35,5,7,4.51,2.45,6.96,36.74,20.16,-1.09,15.45,0.10,7.90,-0.09,11.11
37,Utah State,MWC (Mountain),35,9,5,-4.34,11.04,6.70,28.90,14.55,-2.90,15.59,-0.01,6.86,-0.88,10.49
38,Miami (FL),ACC (Coastal),35,9,4,8.33,-1.74,6.59,40.42,25.97,0.30,16.58,0.93,9.11,1.11,12.15
39,Virginia Tech,ACC (Coastal),35,8,5,-3.85,10.26,6.41,26.21,13.62,-1.81,14.65,-0.91,7.49,-0.91,10.41
40,North Carolina,ACC (Coastal),35,7,6,3.53,2.69,6.22,35.74,21.73,-1.47,15.71,-0.36,8.44,-0.37,11.30
1,Alabama,SEC (West),1,13,1,6.53,17.98,24.51,43.90,6.55,9.06,5.93,5.07,3.11,7.01,4.00
2,Oregon,Pac-12 (North),2,12,1,17.21,6.22,23.43,53.39,17.73,7.56,6.02,5.05,5.26,6.52,5.09
3,Texas A&M,SEC (West),5,11,2,14.01,6.05,20.05,49.02,17.77,8.15,7.15,5.41,4.57,7.14,5.39
4,Georgia,SEC (East),5,12,2,9.85,8.08,17.93,42.55,16.84,10.00,7.08,4.31,4.91,7.29,5.31
5,Florida,SEC (East),9,11,2,2.27,15.09,17.35,32.00,9.35,6.61,5.48,4.02,3.70,5.45,4.19
6,Notre Dame,Ind,4,12,1,1.84,15.15,16.98,33.52,9.71,7.70,6.16,4.28,4.33,6.23,4.83
7,Kansas State,Big 12,12,11,2,7.52,9.40,16.92,42.41,14.11,8.01,6.98,3.89,4.39,5.96,5.22
8,South Carolina,SEC (East),8,11,2,5.03,10.94,15.97,35.18,14.29,8.19,6.61,3.05,4.09,5.71,4.63
9,Stanford,Pac-12 (North),7,12,2,2.47,13.11,15.58,32.54,10.99,6.82,6.02,3.52,4.07,5.43,4.62
10,LSU,SEC (West),14,10,3,5.49,9.27,14.76,35.29,14.59,7.11,5.87,3.70,3.83,5.56,4.47
11,Clemson,ACC (Atlantic),11,11,2,13.72,1.04,14.75,43.99,24.65,8.67,7.66,3.43,5.57,6.28,6.13
12,Oklahoma,Big 12,15,10,3,9.05,5.27,14.32,43.37,17.97,7.04,6.41,4.21,5.74,6.30,5.56
13,Ohio State,Big Ten (Leaders),3,12,0,9.92,3.89,13.81,39.52,21.50,7.45,6.86,4.22,4.64,5.86,5.35
14,Florida State,ACC (Atlantic),10,12,2,3.12,10.44,13.56,40.18,15.31,8.16,5.51,4.71,4.20,6.80,4.40
15,Oklahoma State,Big 12,30,8,5,11.19,2.31,13.50,48.65,20.81,7.98,6.91,4.54,4.38,6.72,5.21
16,Oregon State,Pac-12 (North),20,9,4,4.20,7.94,12.14,38.08,15.41,7.88,6.51,2.87,5.03,6.03,5.32
17,Baylor,Big 12,30,8,5,18.47,-7.25,11.22,49.04,30.33,8.71,7.84,4.37,5.35,6.77,6.13
18,Texas,Big 12,19,9,4,8.01,3.18,11.18,40.32,21.21,8.06,7.99,3.78,5.35,6.14,5.78
19,Utah State,WAC,16,11,2,1.91,8.80,10.71,31.81,17.64,7.15,6.62,4.18,4.52,6.09,4.99
20,USC,Pac-12 (South),30,7,6,5.71,4.82,10.53,36.49,18.91,7.91,6.95,4.08,4.89,6.62,5.42
21,Michigan,Big Ten (Legends),24,8,5,3.66,6.35,10.01,35.86,18.67,8.10,7.20,4.16,4.68,6.21,5.33
22,Vanderbilt,SEC (East),23,9,4,0.53,9.35,9.88,32.97,17.78,7.67,6.30,3.40,5.03,5.65,5.15
23,Nebraska,Big Ten (Legends),25,10,4,8.87,0.91,9.79,40.62,25.28,7.57,6.21,4.70,5.64,6.25,5.49
24,Wisconsin,Big Ten (Leaders),30,8,6,3.26,6.51,9.77,34.00,17.47,7.49,6.41,4.37,4.87,5.92,5.18
25,Penn State,Big Ten (Leaders),30,8,4,2.14,7.56,9.70,30.83,18.00,6.68,7.08,2.50,4.34,5.05,5.33
26,Arizona,Pac-12 (South),30,8,5,10.75,-1.37,9.38,41.98,29.31,7.05,7.85,4.39,5.54,6.19,6.08
27,Arizona State,Pac-12 (South),30,8,5,6.85,2.15,9.00,40.52,21.77,7.63,6.02,3.41,5.49,5.71,5.09
28,Northwestern,Big Ten (Legends),17,10,3,6.82,2.14,8.97,35.66,22.84,5.64,7.20,4.09,5.00,5.22,5.72
29,Brigham Young,Ind,30,8,5,-0.67,9.44,8.77,29.89,14.91,5.96,6.57,2.96,4.41,4.95,4.87
30,UCLA,Pac-12 (South),30,9,5,6.16,2.59,8.75,37.81,22.08,7.62,7.53,3.52,5.19,5.86,5.67
31,Cincinnati,Big East,35,10,3,3.62,5.09,8.71,31.41,21.88,7.32,7.42,4.25,5.45,6.14,5.92
32,Ole Miss,SEC (West),35,7,6,8.22,0.21,8.43,37.10,23.95,7.60,7.24,3.46,4.39,5.74,5.25
33,San Jose State,WAC,21,11,2,5.23,2.67,7.90,33.56,24.12,8.44,7.60,2.07,4.91,5.81,5.75
34,Boise State,MWC,18,11,2,0.47,7.38,7.85,29.07,18.64,6.73,6.99,3.23,5.23,5.37,5.37
35,Texas Christian,Big 12,35,7,6,1.18,6.31,7.49,32.78,16.24,7.23,7.02,3.16,4.01,5.41,4.98
36,UCF,CUSA (East),35,10,4,2.85,3.81,6.65,33.34,21.83,6.88,7.48,3.72,5.44,5.62,5.85
37,Fresno State,MWC,35,9,4,4.58,1.76,6.33,35.56,24.42,7.05,6.80,2.77,5.30,5.56,5.47
38,Louisiana Tech,WAC,35,9,3,20.90,-14.57,6.33,49.52,40.83,6.90,9.14,3.92,6.11,5.94,7.09
39,Texas Tech,Big 12,35,8,5,7.58,-1.25,6.33,40.72,26.59,7.05,7.30,3.55,5.02,6.10,5.46
40,Syracuse,Big East,35,8,5,5.26,1.01,6.27,32.81,24.75,7.32,8.29,3.70,5.18,5.88,6.06
1,Alabama,SEC (West),1,12,1,7.45,16.99,24.44,40.60,7.16,7.87,4.86,5.29,3.03,6.60,3.73
2,LSU,SEC (West),2,13,1,7.52,16.75,24.27,41.11,7.21,7.84,5.63,4.54,3.04,5.88,4.10
3,Oklahoma State,Big 12,3,12,1,18.60,5.54,24.14,51.93,18.37,7.85,6.63,5.24,4.56,7.08,5.33
4,Oklahoma,Big 12,16,10,3,9.47,10.28,19.75,43.15,14.53,7.14,6.84,4.50,3.83,6.25,5.11
5,Oregon,Pac-12 (North),4,12,2,15.45,3.35,18.80,48.98,19.20,7.61,6.32,6.16,4.09,6.99,4.84
6,Stanford,Pac-12 (North),7,11,2,10.65,7.13,17.78,45.62,16.41,8.29,7.36,4.69,3.44,6.56,5.13
7,Boise State,MWC,8,12,1,9.23,7.53,16.75,42.14,17.66,7.21,7.60,3.84,3.91,5.83,5.48
8,Michigan,Big Ten (Legends),12,11,2,7.15,9.12,16.27,38.05,16.26,7.87,7.23,4.99,4.41,6.19,5.53
9,Wisconsin,Big Ten (Leaders),10,11,3,9.72,6.17,15.89,46.49,18.52,9.60,7.50,5.21,4.73,7.03,5.68
10,USC,Pac-12 (South),6,10,2,9.07,5.09,14.16,39.30,18.61,7.61,7.05,4.59,3.87,6.43,5.30
11,Arkansas,SEC (West),5,11,2,9.90,3.96,13.86,40.69,20.91,8.13,6.80,4.14,4.88,6.52,5.56
12,Baylor,Big 12,13,10,3,19.95,-6.12,13.83,47.73,30.70,10.12,8.25,5.05,5.34,7.41,6.54
13,South Carolina,SEC (East),9,11,2,4.92,8.64,13.56,32.65,16.26,7.25,5.28,4.03,4.20,5.50,4.46
14,Texas A&M,Big 12,30,7,6,11.59,1.78,13.36,42.48,21.08,6.50,7.24,4.83,2.79,5.91,4.75
15,Texas,Big 12,30,8,5,1.99,10.17,12.16,31.47,14.67,6.50,6.25,4.12,3.10,5.24,4.52
16,Houston,CUSA (West),18,13,1,11.27,0.67,11.94,47.83,25.18,8.55,7.34,4.32,4.94,7.23,5.68
17,Kansas State,Big 12,15,10,3,7.38,4.07,11.45,34.84,21.22,6.31,7.50,3.72,4.14,4.74,5.62
18,Florida State,ACC (Atlantic),23,9,4,1.27,9.96,11.22,32.49,14.50,8.31,6.97,2.88,3.02,5.62,4.53
19,Missouri,Big 12,30,8,5,3.77,7.32,11.08,35.11,16.74,7.22,6.93,5.12,3.99,6.13,5.20
20,Notre Dame,Ind,30,8,5,4.23,6.83,11.06,33.98,16.20,6.54,6.81,4.75,3.99,5.93,5.14
21,Georgia,SEC (East),19,10,4,4.78,5.88,10.67,36.39,18.68,7.87,5.82,3.61,3.78,5.69,4.72
22,Michigan State,Big Ten (Legends),11,11,3,1.99,8.06,10.05,32.76,15.81,7.12,6.45,3.49,3.07,5.53,4.45
23,Texas Christian,MWC,14,11,2,6.98,2.69,9.67,38.71,23.07,7.45,8.29,4.43,4.12,5.91,5.78
24,Southern Mississippi,CUSA (East),20,12,2,7.11,2.07,9.18,34.94,22.95,6.43,6.68,4.35,4.05,5.62,5.05
25,Nebraska,Big Ten (Legends),24,9,4,4.15,4.62,8.76,32.16,20.86,6.69,7.21,4.19,4.32,5.25,5.34
26,West Virginia,Big East,17,10,3,9.80,-1.16,8.65,40.39,25.96,7.62,6.90,3.73,4.71,6.21,5.52
27,Virginia Tech,ACC (Coastal),21,11,3,-0.65,8.86,8.21,28.39,16.82,7.34,6.91,3.77,3.94,5.45,5.17
28,Cincinnati,Big East,25,10,3,3.66,3.68,7.34,35.36,21.46,6.03,8.07,4.51,3.93,5.41,5.71
29,Vanderbilt,SEC (East),30,6,7,2.76,4.33,7.09,31.14,19.80,6.38,6.81,4.02,4.17,5.23,5.17
30,Toledo,MAC (West),30,9,4,13.83,-6.99,6.84,41.90,32.17,7.01,8.33,4.34,4.58,5.81,6.23
31,Clemson,ACC (Atlantic),22,10,4,8.74,-2.20,6.54,35.72,28.35,7.30,7.36,3.79,5.09,5.75,5.87
32,Penn State,Big Ten (Leaders),30,9,4,-4.49,10.96,6.47,23.00,13.58,5.48,6.05,3.91,3.85,4.88,4.78
33,Rutgers,Big East,35,9,4,-0.45,6.87,6.42,28.02,17.49,5.61,7.22,2.53,4.29,4.36,5.34
34,Florida,SEC (East),35,7,6,0.62,5.38,6.00,30.47,19.63,7.64,6.85,3.86,4.01,5.65,4.99
35,Temple,MAC (East),35,9,4,-2.21,7.84,5.63,27.94,17.73,7.17,7.92,4.44,4.41,5.37,5.69
36,Northern Illinois,MAC (West),35,11,3,10.12,-4.57,5.55,35.57,31.25,7.07,8.24,4.65,4.62,5.93,5.98
37,Tulsa,CUSA (West),35,8,5,4.78,0.42,5.20,34.31,24.32,7.05,7.79,4.21,3.76,5.72,5.34
38,Miami (FL),ACC (Coastal),35,6,6,0.62,4.56,5.17,29.24,19.79,7.79,7.84,4.11,4.66,6.00,5.84
39,Mississippi State,SEC (West),35,7,6,-0.82,5.96,5.13,28.18,18.67,6.72,6.45,3.95,4.42,5.33,5.11
40,Arizona State,Pac-12 (South),35,6,7,7.13,-2.03,5.10,36.79,25.08,7.46,8.17,3.67,4.79,6.06,6.09
1,Stanford,Pac-10,4,12,1,11.33,10.47,21.80,45.54,12.56,9.39,5.97,4.55,4.55,6.72,5.17
2,Oregon,Pac-10,3,12,1,13.04,8.50,21.54,51.13,14.36,8.43,5.29,5.28,4.28,6.68,4.71
3,Auburn,SEC (West),1,14,0,16.15,4.52,20.66,46.36,18.58,10.60,6.13,5.84,3.94,7.52,5.19
4,Boise State,WAC,9,12,1,5.85,12.84,18.69,44.94,12.13,9.84,4.95,4.07,4.18,6.92,4.26
5,Alabama,SEC (West),10,10,3,4.12,14.19,18.31,39.34,9.36,9.79,5.37,4.60,3.96,6.93,4.53
6,Texas Christian,MWC,2,13,0,5.64,12.32,17.96,41.33,12.25,8.98,4.78,4.26,4.42,6.23,4.49
7,Ohio State,Big Ten,5,12,1,4.66,12.70,17.37,39.18,12.59,8.45,5.12,4.35,3.81,6.09,4.44
8,Oklahoma,Big 12 (South),6,12,2,10.21,6.91,17.11,41.43,17.63,8.09,5.79,2.60,4.73,5.52,5.18
9,Oklahoma State,Big 12 (South),13,11,2,15.10,1.53,16.62,45.46,22.96,8.54,5.97,4.08,4.53,6.55,5.17
10,LSU,SEC (West),8,11,2,6.33,8.80,15.13,34.77,14.81,7.33,5.65,4.22,4.42,5.46,4.82
11,Arkansas,SEC (West),12,10,3,11.35,3.13,14.48,41.59,19.80,9.90,6.34,4.29,4.62,7.23,5.24
12,Florida State,ACC (Atlantic),17,10,4,6.93,7.27,14.20,36.82,16.63,8.03,6.49,4.42,4.38,6.07,5.28
13,Virginia Tech,ACC (Coastal),16,11,3,7.39,6.64,14.03,36.14,17.19,8.59,6.49,4.16,5.57,5.98,5.85
14,Wisconsin,Big Ten,7,11,2,9.19,4.83,14.02,42.36,19.25,9.48,6.41,4.63,5.04,6.39,5.58
15,Missouri,Big 12 (North),18,10,3,3.09,10.89,13.98,32.25,13.90,6.96,5.84,3.78,5.32,5.47,5.43
16,South Carolina,SEC (East),22,9,5,5.77,7.20,12.97,35.43,16.75,9.01,6.42,3.81,3.71,6.11,5.05
17,Nebraska,Big 12 (North),20,10,4,4.04,8.81,12.85,32.54,15.50,7.77,5.64,4.43,5.07,5.82,5.04
18,Nevada,WAC,11,13,1,11.09,0.87,11.96,40.27,23.71,8.59,7.05,4.93,5.52,6.56,6.18
19,Texas A&M,Big 12 (South),19,9,4,5.10,6.28,11.39,34.34,17.94,7.40,5.77,3.28,4.29,5.42,4.90
20,North Carolina State,ACC (Atlantic),25,9,4,6.34,4.66,11.00,35.20,19.44,7.06,7.11,2.98,4.15,5.16,5.56
21,Notre Dame,Ind,30,8,5,3.15,7.20,10.35,30.65,16.22,6.98,5.69,3.42,4.38,5.34,5.11
22,Iowa,Big Ten,30,8,5,1.62,8.53,10.15,30.46,14.82,8.61,5.88,3.30,4.12,5.77,5.10
23,Michigan State,Big Ten,14,11,2,4.40,5.51,9.91,31.79,21.05,8.36,6.29,3.63,4.76,5.88,5.50
24,USC,Pac-10,30,8,5,8.08,1.48,9.57,37.27,20.35,7.45,6.65,4.58,5.11,6.07,5.77
25,West Virginia,Big East,30,9,4,-0.85,10.36,9.51,27.52,13.90,7.42,6.06,3.42,3.78,5.23,4.81
26,Florida,SEC (East),30,8,5,5.35,3.95,9.30,35.70,19.07,6.77,5.53,3.94,4.30,5.26,4.75
27,Mississippi State,SEC (West),15,9,4,0.13,8.98,9.11,30.03,14.39,8.49,5.95,3.92,3.91,5.58,4.95
28,Arizona State,Pac-10,30,6,6,6.84,1.58,8.42,36.97,19.85,7.79,6.42,3.29,3.90,5.73,5.08
29,Utah,MWC,30,10,3,2.92,5.38,8.30,35.20,20.02,8.19,7.30,3.67,4.45,5.99,5.64
30,Miami (FL),ACC (Coastal),30,7,6,2.12,6.14,8.26,31.46,18.03,7.45,5.73,4.32,4.86,5.84,5.01
31,Arizona,Pac-10,30,7,6,2.76,5.38,8.14,33.60,16.37,8.19,6.08,3.38,4.19,6.00,4.91
32,Illinois,Big Ten,30,7,6,5.51,2.26,7.77,33.39,21.70,6.94,6.62,4.15,4.65,5.26,5.55
33,Oregon State,Pac-10,35,5,7,4.57,3.03,7.60,33.39,18.03,7.61,6.86,3.33,4.58,5.52,5.34
34,Pitt,Big East,35,8,5,1.76,5.64,7.40,29.79,18.55,7.52,6.19,4.02,4.29,5.67,5.07
35,Clemson,ACC (Atlantic),35,6,7,0.21,7.14,7.35,28.11,16.33,6.62,6.26,3.61,4.05,5.03,4.98
36,Maryland,ACC (Atlantic),23,9,4,2.77,4.25,7.02,33.76,20.85,7.31,5.91,3.43,4.21,5.32,5.07
37,Air Force,MWC,35,9,4,4.05,2.82,6.87,31.06,21.31,9.23,5.64,4.23,5.98,5.62,5.73
38,Hawaii,WAC,35,10,4,5.69,0.86,6.55,37.78,25.54,8.71,6.85,3.49,4.93,6.91,5.68
39,Georgia,SEC (East),35,6,7,2.63,3.72,6.35,35.28,19.44,9.08,6.77,3.63,4.45,6.10,5.21
40,San Diego State,MWC,35,9,4,6.72,-0.66,6.07,34.26,24.41,9.07,6.08,3.36,5.01,6.33,5.53
1,Alabama,SEC (West),1,14,0,7.09,16.60,23.69,37.15,5.95,7.27,5.58,5.10,2.65,6.19,3.93
2,Florida,SEC (East),3,13,1,5.61,15.54,21.15,40.09,7.94,8.45,6.00,5.63,3.15,7.00,4.12
3,Texas,Big 12 (South),2,13,1,11.08,9.12,20.21,44.12,13.47,6.75,6.21,4.21,2.72,5.84,3.99
4,Virginia Tech,ACC (Coastal),10,10,3,8.01,10.56,18.57,37.97,12.39,9.51,6.36,4.78,4.19,6.39,4.93
5,Texas Christian,MWC,6,12,1,5.91,11.14,17.05,38.36,13.28,7.98,6.30,4.71,3.46,6.22,4.48
6,Oregon,Pac-10,11,10,3,12.09,3.39,15.48,41.02,19.80,6.64,6.55,5.55,3.41,6.16,4.60
7,Ohio State,Big Ten,5,11,2,1.58,13.13,14.71,31.21,11.06,6.58,5.98,4.35,2.96,5.41,4.30
8,Cincinnati,Big East,8,12,1,11.76,2.47,14.23,41.02,21.69,7.56,7.75,4.83,3.88,6.79,5.38
9,Penn State,Big Ten,9,11,2,2.04,11.82,13.86,30.31,12.59,6.91,6.91,4.75,3.46,6.04,4.85
10,Georgia Tech,ACC (Coastal),13,11,3,11.79,1.75,13.54,39.07,21.95,10.40,7.92,5.13,5.36,6.29,6.31
11,Boise State,WAC,4,14,0,7.15,6.36,13.50,38.62,18.44,6.85,6.70,4.11,4.48,5.80,5.16
12,Oklahoma,Big 12 (South),30,8,5,1.15,12.06,13.21,34.95,8.97,6.71,5.77,3.59,3.21,5.56,4.08
13,Arkansas,SEC (West),30,8,5,11.43,1.71,13.14,40.41,21.09,8.35,8.61,4.42,3.90,6.82,5.74
14,Pitt,Big East,15,10,3,7.59,5.16,12.75,34.73,18.32,7.14,7.23,4.81,3.68,6.03,5.24
15,LSU,SEC (West),17,9,4,2.28,10.42,12.70,30.37,11.93,6.52,6.48,3.86,3.29,5.30,4.49
16,Miami (FL),ACC (Coastal),19,9,4,8.37,3.82,12.20,35.35,18.99,7.82,7.27,3.74,4.10,5.92,5.40
17,Clemson,ACC (Atlantic),24,9,5,5.49,6.24,11.73,34.20,16.47,6.27,6.42,4.43,3.88,5.53,4.71
18,Ole Miss,SEC (West),20,9,4,3.89,7.61,11.50,32.61,15.87,6.78,6.56,4.83,3.89,5.95,4.85
19,Nebraska,Big 12 (North),14,10,4,-3.40,14.81,11.41,28.81,6.85,6.14,5.74,3.89,3.25,5.13,4.08
20,Stanford,Pac-10,30,8,5,12.23,-1.35,10.88,39.97,24.19,8.29,8.28,5.22,4.58,6.55,6.09
21,Texas Tech,Big 12 (South),21,9,4,8.70,2.09,10.79,38.55,19.37,6.79,7.27,3.29,3.92,6.17,5.07
22,Auburn,SEC (West),30,8,5,11.13,-0.87,10.26,38.19,24.28,7.36,7.07,5.19,4.19,6.30,5.28
23,Iowa,Big Ten,7,11,2,0.25,10.01,10.26,25.71,13.73,6.44,5.68,3.20,3.75,4.99,4.44
24,Brigham Young,MWC,12,11,2,5.62,4.05,9.67,35.98,21.26,7.86,7.09,3.48,4.03,5.94,5.26
25,USC,Pac-10,22,9,4,2.21,6.90,9.11,30.60,17.06,7.08,6.63,4.95,3.91,6.15,4.96
26,Georgia,SEC (East),30,8,5,7.16,1.89,9.06,34.58,20.86,7.31,7.51,4.76,3.30,6.18,5.01
27,Tennessee,SEC (East),30,7,6,5.30,3.64,8.94,35.46,18.90,7.08,6.18,4.39,4.03,5.94,4.82
28,Oregon State,Pac-10,30,8,5,7.16,1.31,8.47,33.50,21.46,6.58,7.52,3.95,3.88,5.63,5.44
29,Wisconsin,Big Ten,16,10,3,5.11,3.08,8.19,32.97,21.09,7.36,8.02,4.22,3.43,5.65,5.32
30,North Carolina,ACC (Coastal),30,8,5,-0.80,8.84,8.04,25.33,13.78,5.29,5.90,3.18,3.41,4.36,4.43
31,Connecticut,Big East,35,8,5,8.16,-0.13,8.03,35.36,22.89,6.86,8.32,4.25,4.27,5.60,5.84
32,Oklahoma State,Big 12 (South),35,9,4,2.24,5.76,8.01,30.16,17.04,6.24,6.96,4.27,3.45,5.33,4.80
33,West Virginia,Big East,25,9,4,2.71,4.76,7.48,28.08,19.38,6.09,7.14,4.64,4.04,5.46,5.26
34,Utah,MWC,18,10,3,3.34,3.94,7.28,29.81,20.43,6.42,6.56,3.83,4.36,5.37,5.05
35,South Carolina,SEC (East),35,7,6,-0.52,7.62,7.10,25.41,14.62,6.22,6.48,3.62,3.61,5.26,4.55
36,Arizona,Pac-10,35,8,5,5.35,1.64,6.98,31.96,21.55,5.54,6.97,4.87,4.10,5.52,5.25
37,Air Force,MWC,35,8,5,-0.78,7.35,6.57,28.91,16.71,6.44,7.02,3.99,4.50,4.60,5.25
38,Notre Dame,Ind,35,6,6,5.71,0.78,6.49,32.46,21.30,7.76,8.22,3.66,4.57,6.10,6.07
39,Rutgers,Big East,35,9,4,0.71,5.63,6.34,28.61,19.38,6.19,8.08,3.46,3.66,4.82,5.44
40,Florida State,ACC (Atlantic),35,7,6,9.19,-3.11,6.08,34.93,26.01,7.77,8.83,4.54,5.79,6.46,6.87
1,Florida,SEC (East),1,13,1,11.01,14.36,25.37,47.79,8.88,8.36,6.34,5.74,4.11,7.15,4.72
2,Oklahoma,Big 12 (South),5,12,2,19.85,4.94,24.79,54.77,16.73,8.71,6.76,4.21,4.06,6.79,4.94
3,Texas,Big 12 (South),4,12,1,11.93,12.05,23.98,44.33,10.54,8.26,7.01,3.51,3.62,6.22,5.00
4,USC,Pac-10,3,12,1,5.49,16.76,22.24,42.08,5.28,8.48,5.26,4.57,3.37,6.78,3.73
5,Penn State,Big Ten,8,11,2,8.19,9.62,17.82,42.91,12.63,7.72,6.97,4.85,3.36,6.56,4.65
6,Alabama,SEC (West),6,12,2,5.57,10.57,16.15,34.46,13.14,6.55,6.63,4.18,3.31,5.50,4.62
7,Texas Tech,Big 12 (South),12,11,2,12.60,2.86,15.46,43.32,21.58,6.75,7.37,4.15,4.87,6.53,5.50
