Rk,School,Conf,AP Rank,W,L,OSRS,DSRS,SRS,Scoring Off,Scoring Def,Passing Off,Passing Def,Rushing Off,Rushing Def,Total Off,Total Def
8,Ohio State,Big Ten,9,10,3,1.50,12.44,13.94,32.29,10.17,6.76,6.04,4.43,4.22,5.61,4.66
9,Utah,MWC,2,13,0,8.13,5.65,13.79,37.05,18.41,6.46,7.33,3.44,4.00,5.38,5.12
10,Texas Christian,MWC,7,11,2,0.40,13.07,13.47,33.18,10.35,5.67,6.70,3.58,2.70,4.91,4.14
11,Missouri,Big 12 (North),19,10,4,9.73,3.39,13.11,43.59,20.77,7.18,7.14,4.55,4.08,6.56,5.21
12,Oklahoma State,Big 12 (South),16,9,4,11.55,1.54,13.09,41.14,20.90,8.80,7.16,4.87,4.97,6.73,5.53
13,Boise State,WAC,11,12,1,2.11,10.72,12.83,34.12,13.86,7.40,6.84,3.45,4.34,5.95,4.89
14,Oregon,Pac-10,10,10,3,14.70,-2.32,12.39,45.98,24.72,6.96,7.06,5.56,3.82,6.69,4.98
15,Ole Miss,SEC (West),14,9,4,6.42,5.69,12.11,35.73,17.66,7.73,7.84,4.07,3.46,5.97,5.17
16,Georgia,SEC (East),13,10,3,10.25,1.35,11.60,37.15,23.60,8.43,7.60,4.32,4.45,6.77,5.46
17,Iowa,Big Ten,20,9,4,0.60,10.51,11.11,31.98,12.03,6.45,6.42,4.37,4.03,5.60,4.81
18,Nebraska,Big 12 (North),30,9,4,10.43,0.49,10.92,38.02,24.44,7.79,8.61,3.86,4.68,6.22,5.86
19,Florida State,ACC (Atlantic),21,9,4,6.11,4.56,10.67,36.98,19.87,5.64,7.39,4.31,4.60,5.35,5.40
20,California,Pac-10,30,9,4,4.33,6.10,10.43,35.90,16.86,5.79,6.42,4.91,3.97,5.85,4.57
21,Oregon State,Pac-10,18,9,4,5.93,4.33,10.26,34.83,18.03,6.97,7.15,3.88,4.45,5.86,5.08
22,Kansas,Big 12 (North),30,8,5,8.38,0.85,9.23,34.79,23.16,6.81,7.27,3.21,4.88,5.62,5.64
23,Arizona,Pac-10,30,8,5,7.42,1.79,9.21,37.93,19.88,7.19,6.78,3.34,4.83,5.64,5.20
24,Pitt,Big East,30,9,4,4.79,4.08,8.87,31.05,19.70,5.98,7.33,3.20,4.03,4.91,5.09
25,Virginia Tech,ACC (Coastal),15,10,4,0.49,7.66,8.14,25.16,16.44,5.20,8.51,3.39,4.10,4.33,5.52
26,Michigan State,Big Ten,24,9,4,2.23,5.70,7.92,28.94,18.56,6.41,7.37,2.95,4.40,4.92,5.34
27,North Carolina,ACC (Coastal),30,8,5,5.54,2.36,7.90,31.73,21.66,6.95,7.74,3.11,4.45,5.16,5.55
28,Wake Forest,ACC (Atlantic),30,8,5,-0.27,7.71,7.45,25.99,15.85,5.52,6.93,2.69,4.01,4.34,5.02
29,West Virginia,Big East,23,9,4,1.67,5.42,7.09,26.83,18.71,5.34,7.45,4.85,4.54,5.47,5.40
30,Tulsa,CUSA (West),30,11,3,12.09,-5.03,7.06,42.89,30.84,8.22,9.35,4.29,5.09,6.39,6.40
31,Clemson,ACC (Atlantic),30,7,6,0.67,6.30,6.97,28.14,17.18,5.99,6.51,2.93,4.65,4.88,5.07
32,Georgia Tech,ACC (Coastal),22,9,4,1.72,5.06,6.78,26.42,19.90,6.71,7.43,5.09,4.67,5.73,5.50
33,Boston College,ACC (Atlantic),30,9,5,1.70,5.02,6.72,28.83,19.29,4.54,7.14,3.35,3.71,4.39,4.98
34,Rutgers,Big East,35,8,5,1.02,5.33,6.35,29.84,19.77,7.16,9.17,3.21,4.29,5.70,5.89
35,Ball State,MAC (West),35,12,2,3.12,3.14,6.26,29.88,22.18,6.97,7.68,3.67,5.45,5.72,5.97
36,Cincinnati,Big East,17,11,3,1.18,4.85,6.03,26.46,19.75,6.14,7.38,3.03,4.06,5.19,5.15
37,LSU,SEC (West),35,8,5,6.00,-0.09,5.91,33.03,23.75,5.88,7.51,3.82,4.04,5.19,5.30
38,South Carolina,SEC (East),35,7,6,-1.89,7.10,5.21,25.03,18.37,5.52,7.12,2.55,4.17,4.58,4.91
39,Brigham Young,MWC,25,10,3,4.87,0.09,4.96,33.41,24.10,7.06,8.22,3.26,5.02,5.93,5.97
40,Miami (FL),ACC (Coastal),35,7,6,4.45,0.40,4.85,31.34,22.55,5.28,7.61,3.51,4.77,4.89,5.51
1,West Virginia,Big East,6,11,2,9.51,9.58,19.09,43.48,15.08,7.37,6.54,5.52,3.96,6.57,4.60
2,LSU,SEC (West),1,12,2,10.50,7.92,18.41,44.49,16.99,6.94,6.22,4.58,3.75,6.02,4.52
3,USC,Pac-10,3,11,2,5.53,12.57,18.10,36.34,11.96,6.28,6.21,4.94,2.74,6.07,3.94
4,Florida,SEC (East),13,9,4,15.18,2.88,18.06,48.84,21.75,9.28,7.85,4.85,3.63,7.22,5.30
5,Oregon,Pac-10,23,9,4,11.59,6.23,17.82,44.07,18.63,6.58,7.08,5.41,3.71,6.33,4.89
6,Georgia,SEC (East),2,11,2,8.10,9.10,17.20,36.98,15.63,6.63,6.90,4.02,3.81,5.59,4.74
7,Missouri,Big 12 (North),4,12,2,11.56,5.21,16.77,43.05,18.00,6.92,6.97,4.15,4.02,6.12,4.99
8,Oklahoma,Big 12 (South),8,11,3,7.39,8.48,15.87,44.01,15.74,8.09,7.04,4.15,3.88,6.28,4.87
9,Ohio State,Big Ten,5,11,2,0.11,14.73,14.84,31.76,11.33,6.82,5.70,3.85,2.93,5.43,3.81
10,Kansas,Big 12 (North),7,12,1,3.73,10.72,14.45,41.08,14.85,6.70,6.48,4.03,3.74,5.87,4.70
11,Virginia Tech,ACC (Coastal),9,11,3,2.42,11.80,14.22,31.66,14.40,6.61,6.40,3.04,3.73,4.85,4.65
12,Arizona State,Pac-10,16,10,3,6.73,6.94,13.67,37.05,17.94,7.54,6.70,3.29,3.87,5.60,4.76
13,Cincinnati,Big East,17,10,3,6.69,6.71,13.40,38.29,18.11,7.43,7.26,3.32,3.98,5.87,5.15
14,South Florida,Big East,30,9,4,7.42,4.95,12.37,38.75,20.24,6.66,6.05,3.76,4.45,5.51,4.82
15,Auburn,SEC (West),15,9,4,-0.30,12.17,11.87,28.07,11.85,6.06,6.18,3.43,4.06,4.94,4.55
16,Tennessee,SEC (East),12,10,4,8.03,3.65,11.68,37.29,22.72,6.62,7.36,3.85,4.42,5.82,5.38
17,Clemson,ACC (Atlantic),21,9,4,4.92,6.48,11.40,36.22,19.67,6.35,6.65,3.58,4.56,5.29,5.08
18,Brigham Young,MWC,14,11,2,4.50,6.61,11.11,32.37,19.14,7.19,6.79,3.47,3.75,5.88,4.79
19,Texas,Big 12 (South),10,10,3,7.77,3.22,10.99,38.82,21.30,6.78,7.60,4.60,3.51,6.12,5.11
20,Oregon State,Pac-10,25,9,4,2.97,6.96,9.93,33.79,18.38,5.55,7.34,4.20,2.35,5.26,4.32
21,Boston College,ACC (Atlantic),10,11,3,5.05,4.70,9.75,31.42,21.41,6.40,7.17,2.81,3.64,5.48,5.27
22,Kentucky,SEC (East),30,8,5,10.17,-0.73,9.43,39.93,25.39,6.60,6.59,3.69,5.17,5.68,5.29
23,Penn State,Big Ten,30,9,4,2.39,6.70,9.09,33.13,19.01,5.97,7.49,4.28,3.60,5.50,5.08
24,Arkansas,SEC (West),30,8,5,7.99,0.92,8.91,39.95,24.45,6.46,6.47,5.28,4.90,6.19,5.11
25,California,Pac-10,30,7,6,5.85,2.60,8.46,34.50,22.16,6.51,6.77,5.01,4.16,6.24,4.85
26,Texas Tech,Big 12 (South),22,9,4,6.61,1.68,8.28,40.66,23.73,6.87,6.90,2.53,4.62,6.50,4.99
27,Alabama,SEC (West),30,7,6,3.18,4.91,8.09,31.75,20.04,5.76,7.55,3.56,3.94,5.12,5.22
28,Illinois,Big Ten,20,9,4,3.23,4.84,8.07,30.93,20.92,6.03,7.37,5.23,4.50,5.94,5.45
29,UCLA,Pac-10,30,6,7,0.28,7.69,7.97,29.41,17.42,6.06,6.58,3.98,3.26,5.28,4.40
30,Michigan,Big Ten,18,9,4,0.78,7.13,7.91,28.97,18.48,6.02,6.62,3.46,4.44,5.02,4.95
31,Utah,MWC,30,9,4,-3.13,10.51,7.37,27.59,15.84,5.70,5.94,3.63,4.49,5.03,4.77
32,South Carolina,SEC (East),30,6,6,1.53,5.62,7.15,29.67,18.39,6.63,6.16,3.13,5.27,5.50,5.19
33,Connecticut,Big East,35,9,4,-0.93,8.00,7.07,28.47,18.51,6.16,6.39,3.28,5.64,4.93,5.50
34,Wake Forest,ACC (Atlantic),35,9,4,2.53,4.54,7.07,30.25,21.79,5.89,6.45,2.65,4.32,4.47,5.05
35,Rutgers,Big East,35,8,5,2.52,4.22,6.75,33.84,21.11,7.79,6.38,3.89,5.02,6.05,5.14
36,Michigan State,Big Ten,35,7,6,8.70,-2.01,6.69,36.51,27.22,6.84,7.86,4.12,4.66,5.66,5.66
37,Oklahoma State,Big 12 (South),35,7,6,7.14,-0.47,6.67,36.95,23.82,7.61,8.37,4.91,4.75,6.48,5.85
38,Hawaii,WAC,19,12,1,7.95,-1.59,6.36,39.89,28.70,7.37,7.17,2.24,4.50,6.54,5.20
39,Boise State,WAC,35,10,3,3.99,2.32,6.31,38.77,24.44,6.76,7.36,3.66,4.82,5.74,5.38
40,UCF,CUSA (East),35,10,4,3.91,2.22,6.13,32.69,26.05,6.10,7.01,3.85,4.43,5.13,5.15
1,USC,Pac-10,4,11,2,9.19,11.17,20.36,35.80,9.30,6.75,7.10,4.43,2.75,6.11,4.45
2,Louisville,Big East,6,12,1,13.21,6.73,19.94,40.58,14.50,8.79,7.57,5.12,3.50,7.15,5.16
3,Florida,SEC (East),1,13,1,7.58,12.08,19.66,35.05,8.56,7.62,6.11,4.81,2.61,6.62,3.94
4,LSU,SEC (West),3,11,2,6.91,11.94,18.86,37.93,9.72,8.00,6.22,4.92,3.25,6.81,4.05
5,Ohio State,Big Ten,2,12,1,7.40,11.36,18.76,36.82,10.79,7.04,6.92,4.99,3.13,6.14,4.55
6,West Virginia,Big East,10,11,2,15.22,1.58,16.80,41.51,19.96,7.97,8.36,6.75,3.07,7.37,5.32
7,Michigan,Big Ten,8,11,2,7.41,9.25,16.66,31.98,12.34,6.44,6.92,4.32,1.81,5.50,4.29
8,California,Pac-10,14,10,3,11.20,5.16,16.36,36.65,15.83,6.89,8.57,5.13,3.89,6.51,5.64
9,Brigham Young,MWC,16,11,2,9.25,5.96,15.21,38.17,15.67,8.10,7.51,4.07,4.14,6.75,5.35
10,Boise State,WAC,5,13,0,10.21,4.44,14.65,36.80,17.69,6.95,7.84,4.67,3.57,5.94,5.05
11,Tennessee,SEC (East),25,9,4,7.82,6.34,14.15,33.06,13.89,7.39,7.47,3.78,3.67,6.27,4.80
12,Auburn,SEC (West),9,11,2,3.65,9.86,13.51,28.75,11.05,7.17,7.30,4.23,3.76,5.79,4.77
13,Arkansas,SEC (West),15,10,4,7.46,5.66,13.12,34.22,15.98,6.13,6.64,6.09,3.59,6.57,4.56
14,Rutgers,Big East,12,11,2,3.92,8.96,12.88,31.09,12.40,6.20,7.42,4.69,2.65,5.59,4.29
15,Oklahoma,Big 12 (South),11,11,3,5.49,7.27,12.75,32.46,12.32,6.70,7.05,4.50,3.12,5.71,4.52
16,Virginia Tech,ACC (Coastal),19,10,3,2.54,9.93,12.47,28.62,11.97,6.50,6.71,3.41,3.01,5.12,4.17
17,Texas,Big 12 (South),13,10,3,7.27,4.92,12.18,36.79,15.55,6.89,8.70,4.19,2.33,5.85,5.14
18,Wisconsin,Big Ten,7,12,1,2.69,9.28,11.97,27.42,13.14,6.94,6.31,3.75,3.85,5.39,4.50
19,Notre Dame,Ind,17,10,3,10.80,0.53,11.32,34.75,21.38,6.37,9.08,4.13,3.70,5.82,5.59
20,Hawaii,WAC,30,11,3,13.47,-2.76,10.71,43.75,25.01,8.17,9.11,5.05,4.34,8.09,5.97
21,Georgia,SEC (East),23,9,4,5.18,5.03,10.21,29.99,15.97,6.05,6.50,4.04,3.40,5.47,4.26
22,Boston College,ACC (Atlantic),20,10,3,3.55,6.41,9.96,27.06,14.66,5.51,7.05,3.41,3.73,5.07,4.91
23,Oregon State,Pac-10,21,10,4,5.74,3.93,9.67,30.27,17.62,6.84,8.37,3.58,3.45,5.61,5.23
24,South Carolina,SEC (East),30,8,5,4.22,5.45,9.67,29.96,15.35,7.53,8.63,4.59,4.08,6.57,5.40
25,Texas Christian,MWC,22,11,2,0.55,8.72,9.27,27.71,12.83,6.42,7.38,4.17,2.76,5.54,4.43
26,Nebraska,Big 12 (North),30,9,5,3.79,5.13,8.92,32.53,15.39,7.10,7.90,4.42,3.63,5.96,5.27
27,UCLA,Pac-10,30,7,6,2.15,6.57,8.71,26.48,14.40,5.31,8.00,4.04,2.84,5.14,4.80
28,Clemson,ACC (Atlantic),30,8,5,3.15,5.04,8.19,33.25,16.30,6.32,7.16,5.49,3.29,6.27,4.51
29,Missouri,Big 12 (North),30,8,5,6.12,2.03,8.15,32.39,18.74,6.75,7.50,4.27,3.81,6.03,4.99
30,Wake Forest,ACC (Atlantic),18,11,3,0.37,7.59,7.95,23.63,14.00,6.69,8.21,3.91,3.19,5.25,5.11
31,Penn State,Big Ten,24,9,4,-2.04,8.93,6.89,22.36,12.92,4.87,6.92,4.30,3.06,5.07,4.50
32,Kentucky,SEC (East),30,8,5,7.48,-0.83,6.65,31.48,23.97,7.57,9.10,3.33,4.88,6.09,6.29
33,Texas A&M,Big 12 (South),35,9,4,2.61,3.92,6.53,27.37,16.28,6.07,7.92,4.88,4.24,5.69,5.37
34,Georgia Tech,ACC (Coastal),35,9,5,2.75,3.75,6.50,26.96,17.13,5.20,7.18,4.55,3.31,5.27,4.77
35,Arizona State,Pac-10,35,7,6,4.68,1.59,6.28,30.27,21.27,6.18,8.29,4.59,3.62,5.66,5.21
36,Florida State,ACC (Atlantic),35,7,6,3.57,2.63,6.19,30.10,19.38,5.80,7.69,3.71,3.00,5.47,4.78
37,Oklahoma State,Big 12 (South),35,7,6,8.93,-2.89,6.04,36.78,23.31,7.10,8.81,5.08,4.16,6.23,5.63
38,Oregon,Pac-10,35,7,6,7.07,-1.13,5.94,33.86,22.73,5.40,7.34,5.27,4.37,5.84,5.16
39,South Florida,Big East,35,9,4,0.12,5.83,5.94,23.49,15.27,6.94,7.14,3.87,3.29,5.54,4.61
40,Arizona,Pac-10,35,6,6,-2.33,8.17,5.84,21.01,13.74,4.77,7.73,2.92,3.81,4.29,5.15
1,Texas,Big 12 (South),1,13,0,14.05,10.93,24.98,53.80,12.27,9.25,5.44,5.86,3.77,7.19,4.35
2,USC,Pac-10,2,12,1,17.06,7.51,24.57,52.47,15.02,8.80,5.82,6.00,3.99,7.51,4.66
3,Ohio State,Big Ten,4,10,2,7.09,15.88,22.97,37.00,6.26,9.44,5.53,4.21,2.27,6.32,3.89
4,Penn State,Big Ten,3,11,1,8.75,11.66,20.41,39.16,11.55,7.78,5.37,4.78,2.68,6.07,3.94
5,Virginia Tech,ACC (Coastal),7,11,2,6.14,12.83,18.96,38.43,11.34,8.55,5.06,4.03,3.59,5.75,4.18
6,Notre Dame,Ind,9,9,3,14.72,2.74,17.46,42.79,19.62,9.11,7.21,3.50,4.19,6.30,5.67
7,Miami (FL),ACC (Coastal),17,9,3,3.83,11.26,15.09,31.64,13.13,8.18,5.22,3.57,3.67,5.67,4.18
8,Michigan,Big Ten,,7,5,5.19,9.67,14.86,34.24,12.84,6.94,5.51,3.53,3.94,5.13,4.63
9,LSU,SEC (West),6,11,2,4.35,9.83,14.18,33.34,14.47,8.12,5.35,3.41,3.63,5.63,4.30
10,Georgia,SEC (East),10,10,3,5.10,8.65,13.75,33.04,14.84,8.47,6.23,4.34,4.34,6.34,4.94
11,Auburn,SEC (West),14,9,3,5.62,8.01,13.63,35.21,16.41,7.95,6.74,4.32,4.37,6.07,5.33
12,Oregon,Pac-10,12,10,2,8.22,4.91,13.13,36.88,19.23,7.53,5.65,3.44,4.32,5.77,4.80
13,West Virginia,Big East,5,11,1,6.53,6.52,13.05,34.99,16.66,7.41,6.33,4.71,3.60,5.74,4.68
14,Alabama,SEC (West),8,10,2,0.15,12.74,12.89,26.32,10.86,7.62,5.58,3.42,4.14,5.46,4.58
15,Florida,SEC (East),12,9,3,5.40,6.92,12.32,33.47,17.74,7.56,6.46,3.59,3.76,5.58,4.87
16,Boston College,ACC (Atlantic),18,9,3,1.21,10.80,12.01,28.81,13.14,7.37,5.96,3.54,3.23,5.48,4.51
17,Wisconsin,Big Ten,15,10,3,8.09,3.71,11.81,35.98,19.81,8.86,6.66,3.33,4.97,5.55,5.64
18,Texas Tech,Big 12 (South),20,9,3,5.26,6.15,11.40,40.50,18.58,7.69,6.18,3.84,4.54,6.55,5.09
19,Minnesota,Big Ten,30,7,5,12.31,-1.00,11.31,41.20,24.44,8.52,6.94,5.05,4.72,6.42,5.76
20,Iowa,Big Ten,30,7,5,3.66,7.64,11.30,32.27,15.70,7.67,6.67,4.38,3.69,6.04,5.11
21,Oklahoma,Big 12 (South),22,8,4,4.65,6.59,11.24,30.79,16.17,6.62,5.89,3.76,2.97,5.07,4.28
22,UCLA,Pac-10,16,10,2,13.68,-2.46,11.22,41.61,29.42,8.36,6.56,4.11,5.56,6.27,5.76
23,Texas Christian,MWC,11,11,1,4.83,6.38,11.21,32.77,19.08,6.40,6.17,3.82,3.66,5.06,4.77
24,Louisville,Big East,19,9,3,11.63,-0.51,11.12,46.10,24.66,9.61,7.13,4.38,3.81,6.91,5.16
25,Clemson,ACC (Atlantic),21,8,4,4.87,6.22,11.09,29.76,16.71,7.69,6.33,4.03,4.02,5.80,4.90
26,Arizona State,Pac-10,30,7,5,11.21,-1.59,9.63,38.77,24.80,9.28,7.86,3.59,4.82,6.69,5.94
27,Florida State,ACC (Atlantic),23,8,5,5.93,3.43,9.36,34.34,20.02,7.56,6.26,3.11,3.40,5.74,4.62
28,Northwestern,Big Ten,30,7,5,11.28,-2.01,9.27,37.37,27.09,7.40,6.62,4.69,5.19,6.18,5.75
29,California,Pac-10,25,8,4,3.58,5.07,8.64,32.08,18.41,6.99,6.20,5.23,3.87,6.14,4.79
30,Iowa State,Big 12 (North),30,7,5,3.52,4.96,8.48,29.91,18.53,7.75,7.18,2.52,3.45,4.87,5.19
31,Michigan State,Big Ten,30,5,6,6.81,1.52,8.32,37.11,22.91,8.77,6.76,4.60,4.91,6.58,5.61
32,Nebraska,Big 12 (North),24,8,4,2.97,4.60,7.57,28.36,18.74,6.38,6.43,2.69,3.94,4.65,4.90
33,Georgia Tech,ACC (Coastal),30,7,5,-1.03,8.35,7.31,24.59,16.97,6.26,6.27,3.72,3.43,5.05,4.77
34,Purdue,Big Ten,35,5,6,5.31,1.82,7.13,33.38,21.64,6.40,7.43,4.37,3.70,5.45,5.33
35,Colorado,Big 12 (North),35,7,6,-1.66,8.26,6.60,27.22,18.40,6.49,6.45,3.16,3.00,5.02,4.66
36,North Carolina State,ACC (Atlantic),35,7,5,-1.59,7.32,5.73,25.53,17.03,7.08,6.02,3.21,3.62,5.04,4.52
37,Fresno State,WAC,35,8,5,4.43,1.28,5.72,33.09,22.84,7.46,6.67,3.54,5.09,5.63,5.45
38,Virginia,ACC (Coastal),35,7,5,2.71,2.90,5.61,29.68,22.12,7.80,6.59,3.57,4.79,5.59,5.51
39,South Carolina,SEC (East),35,7,5,1.04,4.21,5.24,27.49,21.70,7.66,6.22,2.66,4.61,5.29,5.06
40,Kansas,Big 12 (North),35,7,5,-1.76,6.98,5.22,24.32,19.50,5.99,6.49,3.48,3.09,4.83,4.60
1,USC,Pac-10,1,13,0,11.18,14.88,26.06,46.12,7.50,9.46,4.45,5.01,2.85,7.05,3.70
2,Utah,MWC,4,12,0,16.73,5.03,21.76,47.21,20.05,9.83,5.82,5.19,4.37,7.11,4.97
3,California,Pac-10,9,10,2,9.23,12.03,21.26,41.76,10.95,9.66,5.78,6.00,2.91,7.57,4.39
4,Oklahoma,Big 12 (South),3,12,1,8.00,13.24,21.23,38.87,10.59,8.59,5.81,5.02,2.92,6.55,4.29
5,Auburn,SEC (West),2,13,0,6.69,13.18,19.86,35.39,10.79,10.64,5.82,4.25,3.28,6.68,4.46
6,Texas,Big 12 (South),5,11,1,9.01,10.26,19.27,38.54,13.66,7.55,6.09,5.86,3.19,6.48,4.58
7,Miami (FL),ACC,11,9,3,8.34,9.69,18.03,38.28,12.42,8.49,5.49,4.07,3.52,6.20,4.28
8,Louisville,CUSA,6,11,1,10.61,6.60,17.21,46.88,17.96,9.26,5.87,5.36,3.19,7.04,4.38
9,Arizona State,Pac-10,19,9,3,8.95,6.32,15.28,38.05,17.60,8.81,5.25,3.76,3.74,6.37,4.42
10,Florida State,ACC,15,9,3,2.33,12.67,15.00,29.41,10.81,6.86,5.81,4.25,2.28,5.57,3.93
11,Iowa,Big Ten,8,10,2,4.43,9.96,14.39,30.57,14.53,8.46,5.37,2.09,2.87,5.10,4.15
12,Virginia Tech,ACC,10,10,3,1.42,12.68,14.10,34.89,10.02,8.07,5.30,4.11,3.28,5.72,4.04
13,Boise State,WAC,12,11,1,13.62,0.43,14.04,45.75,23.28,9.26,6.69,4.06,3.75,6.19,5.21
14,Virginia,ACC,23,8,4,4.72,8.85,13.57,34.43,15.35,8.14,6.78,5.21,3.66,6.39,4.97
15,Texas Tech,Big 12 (South),18,8,4,11.01,1.87,12.88,40.59,21.60,7.69,5.07,4.19,4.07,6.62,4.52
16,Georgia,SEC (East),7,10,2,4.02,8.64,12.66,32.56,15.28,8.83,6.02,4.07,3.19,6.20,4.42
17,Michigan,Big Ten,14,9,3,8.92,3.31,12.24,35.39,19.78,7.29,5.98,3.95,3.77,5.42,4.72
18,Texas A&M,Big 12 (South),30,7,5,5.70,6.37,12.07,33.22,17.28,8.92,5.85,4.78,3.43,6.74,4.58
19,LSU,SEC (West),16,9,3,3.79,8.11,11.89,33.77,15.76,8.35,4.90,4.74,3.23,6.25,3.93
20,Oregon State,Pac-10,30,7,5,7.25,4.56,11.80,35.24,18.34,8.16,4.41,2.90,3.38,5.87,3.89
21,Tennessee,SEC (East),13,10,3,8.75,2.94,11.69,34.74,20.48,8.20,6.25,4.81,3.42,6.27,4.87
22,Ohio State,Big Ten,20,8,4,2.71,8.60,11.31,29.47,15.32,7.61,5.32,4.03,3.77,5.55,4.55
23,Purdue,Big Ten,30,7,5,3.98,6.95,10.93,35.94,15.83,8.57,6.43,3.52,3.62,6.17,5.09
24,Oklahoma State,Big 12 (South),30,7,5,7.46,2.18,9.64,36.77,21.71,9.30,6.64,4.77,4.61,6.08,5.43
25,UCLA,Pac-10,30,6,6,9.61,0.01,9.61,36.78,21.49,8.62,5.61,5.03,5.30,6.63,5.37
26,Florida,SEC (East),30,7,5,5.60,3.98,9.58,35.00,19.75,8.36,5.64,4.53,3.79,6.48,4.57
27,Fresno State,WAC,22,9,3,5.61,3.94,9.55,36.11,20.17,6.95,5.65,4.83,4.33,5.79,4.80
28,Wisconsin,Big Ten,17,9,3,-1.08,9.76,8.69,25.11,14.67,6.84,5.03,3.69,4.09,4.92,4.52
29,Arkansas,SEC (West),30,5,6,6.15,0.43,6.58,35.24,22.85,9.06,7.58,4.45,4.45,6.34,5.66
30,Georgia Tech,ACC,30,7,5,-0.39,6.81,6.41,26.80,16.51,6.93,5.48,4.09,3.30,5.43,4.32
31,Stanford,Pac-10,30,4,7,-2.00,8.27,6.27,27.39,14.12,7.85,6.10,2.76,3.69,5.42,4.67
32,Notre Dame,Ind,35,6,6,2.81,3.41,6.22,30.77,19.52,8.26,7.02,3.50,2.95,5.58,5.04
33,North Carolina State,ACC,35,5,6,0.87,5.16,6.04,29.34,18.52,7.07,4.58,3.93,2.89,5.42,3.43
34,Alabama,SEC (West),35,6,6,-1.93,7.70,5.77,27.09,16.26,6.86,5.08,4.23,3.42,5.25,3.90
35,Minnesota,Big Ten,35,7,5,3.63,2.11,5.74,32.51,22.53,8.81,6.92,5.14,4.13,6.49,5.57
36,UTEP,WAC,35,8,4,4.73,0.93,5.65,31.69,23.64,7.66,6.13,3.09,4.03,5.31,4.84
37,Bowling Green State,MAC (West),35,9,3,6.44,-0.93,5.50,37.27,27.40,7.70,7.16,3.95,4.38,6.10,5.61
38,Boston College,Big East,21,9,3,-0.85,6.12,5.28,23.33,18.77,6.66,6.18,3.21,4.02,5.00,4.91
39,West Virginia,Big East,35,8,4,3.66,1.60,5.27,29.65,23.17,7.42,5.97,4.92,4.55,5.85,5.02
