Rk,School,Conf,AP Rank,W,L,OSRS,DSRS,SRS,Scoring Off,Scoring Def,Passing Off,Passing Def,Rushing Off,Rushing Def,Total Off,Total Def
40,Clemson,ACC,35,6,5,1.61,3.62,5.23,28.35,19.69,6.57,5.39,3.46,3.40,5.03,4.19
1,USC,Pac-10,1,12,1,16.29,6.85,23.14,44.70,16.67,9.03,6.38,5.14,1.71,7.05,4.25
2,LSU,SEC (West),2,13,1,6.12,14.73,20.85,37.06,7.97,8.33,4.96,4.72,2.05,6.17,3.63
3,Oklahoma,Big 12 (South),3,12,2,8.33,11.95,20.27,45.66,11.61,9.02,4.48,3.95,3.22,6.32,3.84
4,Florida State,ACC,11,10,3,7.01,10.74,17.75,38.68,11.57,8.50,5.76,4.04,3.00,6.23,4.26
5,Georgia,SEC (East),7,11,3,5.73,11.74,17.46,33.74,10.45,8.23,5.40,4.01,2.81,5.86,4.05
6,Michigan,Big Ten,6,10,3,6.21,9.88,16.10,38.19,13.49,7.39,5.41,4.91,3.18,6.01,4.34
7,Kansas State,Big 12 (North),14,11,4,8.03,7.72,15.74,38.29,15.53,8.96,5.68,5.01,3.03,6.41,4.24
8,Texas,Big 12 (South),12,10,3,7.66,7.70,15.35,41.89,17.72,8.71,5.83,5.07,3.38,6.43,4.41
9,Iowa,Big Ten,8,10,3,4.72,9.94,14.66,33.07,12.71,6.95,5.91,4.60,2.31,5.41,4.06
10,Miami (FL),Big East,5,11,2,2.43,12.04,14.47,31.32,10.83,7.04,5.08,4.81,3.12,5.83,3.85
11,Miami (OH),MAC (East),10,13,1,9.63,4.59,14.21,41.45,20.40,8.74,6.67,3.86,3.43,6.44,5.07
12,Ohio State,Big Ten,4,11,2,4.78,9.22,14.00,31.00,13.75,7.82,5.59,3.82,1.72,5.47,3.86
13,Maryland,ACC,17,10,3,2.91,10.00,12.92,33.79,13.48,8.36,6.08,4.61,3.57,6.11,4.60
14,Arkansas,SEC (West),30,9,4,9.34,3.33,12.67,38.33,19.65,8.53,5.49,5.50,3.50,6.46,4.50
15,Washington State,Pac-10,9,10,3,6.16,6.15,12.31,32.43,17.62,7.63,5.12,3.68,2.64,5.60,3.98
16,Minnesota,Big Ten,20,10,3,10.99,0.89,11.88,40.94,22.84,9.55,6.45,5.76,3.46,6.85,5.01
17,Tennessee,SEC (East),15,10,3,4.50,7.03,11.53,33.72,16.37,7.77,5.68,4.14,3.35,5.92,4.41
18,Nebraska,Big 12 (North),19,10,3,0.31,10.87,11.18,27.41,12.65,7.91,5.17,4.39,3.39,5.23,4.25
19,Ole Miss,SEC (West),13,10,3,7.02,3.97,10.99,35.74,18.33,8.55,7.61,4.20,2.66,6.28,5.20
20,Purdue,Big Ten,18,9,4,3.49,7.30,10.79,32.35,15.44,7.32,6.31,3.96,2.25,5.40,4.27
21,Florida,SEC (East),24,8,5,5.30,5.37,10.67,36.32,16.86,8.52,6.13,4.77,3.81,6.50,4.80
22,Clemson,ACC,22,9,4,2.22,8.27,10.49,32.10,15.37,7.81,6.05,4.02,3.44,5.98,4.56
23,North Carolina State,ACC,30,8,5,13.25,-2.84,10.41,41.27,25.56,9.52,6.84,3.49,3.63,6.86,5.20
24,Virginia,ACC,30,8,5,3.90,6.25,10.15,32.17,16.35,7.35,6.41,4.05,4.09,5.78,5.02
25,Utah,MWC,21,10,2,5.51,4.50,10.01,30.62,19.43,8.16,6.57,3.84,3.86,5.49,5.06
26,California,Pac-10,30,8,6,8.29,1.44,9.73,35.91,21.78,8.50,6.96,4.88,3.63,6.49,5.26
27,Oklahoma State,Big 12 (South),30,9,4,6.96,2.36,9.32,36.08,23.04,7.51,6.71,5.30,4.12,6.22,5.26
28,Boise State,WAC,16,13,1,4.70,4.23,8.92,38.42,22.00,9.19,6.11,3.35,3.55,6.12,4.85
29,Virginia Tech,Big East,30,8,5,7.25,1.66,8.91,36.49,22.06,8.32,7.21,5.34,3.52,6.52,5.08
30,Auburn,SEC (West),30,8,5,-2.34,10.43,8.09,30.23,12.64,8.09,6.27,5.12,2.47,6.12,4.20
31,Oregon State,Pac-10,30,8,5,6.51,1.47,7.98,34.49,22.16,8.15,5.33,3.74,2.40,5.87,3.89
32,Michigan State,Big Ten,35,8,5,4.22,3.73,7.95,31.84,20.12,7.20,7.06,3.61,2.93,5.65,4.94
33,Texas Tech,Big 12 (South),35,8,5,14.67,-7.17,7.50,43.99,30.58,8.17,7.56,4.65,4.67,7.12,5.93
34,West Virginia,Big East,35,8,5,3.78,2.73,6.51,31.81,21.25,8.29,6.62,4.78,3.49,5.91,5.07
35,Missouri,Big 12 (North),35,8,5,2.45,4.00,6.45,30.14,19.15,6.03,6.01,5.43,4.01,5.74,4.83
36,Wisconsin,Big Ten,35,7,6,4.13,2.32,6.44,32.16,20.11,8.86,6.28,4.64,3.61,6.08,4.93
37,Pitt,Big East,35,8,5,4.29,1.81,6.10,31.25,21.89,8.89,6.85,3.23,4.36,5.98,5.41
38,Boston College,Big East,35,8,5,5.16,0.53,5.69,31.34,23.16,7.63,6.55,4.31,3.18,5.77,4.79
39,Georgia Tech,ACC,35,7,6,-1.42,7.02,5.60,26.62,16.11,6.33,6.24,4.43,2.72,5.28,4.40
40,Oregon,Pac-10,35,8,5,2.92,2.40,5.32,29.63,24.60,8.00,6.72,3.95,2.92,5.79,4.88
1,USC,Pac-10,4,11,2,12.93,11.26,24.19,43.37,10.81,8.26,5.57,4.04,3.01,6.51,3.94
2,Miami (FL),Big East,2,12,1,14.02,6.33,20.35,44.95,17.78,8.29,4.75,5.26,4.05,7.17,3.92
3,Oklahoma,Big 12 (South),5,12,2,6.67,12.36,19.02,41.30,11.53,6.59,6.40,4.34,3.39,5.72,4.18
4,Georgia,SEC (East),3,13,1,6.94,11.23,18.18,36.67,13.28,7.53,6.59,3.52,3.10,5.81,4.20
5,Ohio State,Big Ten,1,14,0,2.02,16.11,18.13,30.54,8.33,8.50,6.48,3.99,2.40,5.85,4.08
6,Texas,Big 12 (South),6,11,2,7.40,9.92,17.32,37.67,12.47,7.89,5.64,3.28,4.22,5.83,4.36
7,Kansas State,Big 12 (North),7,11,2,2.95,13.55,16.49,43.87,10.07,8.69,6.12,4.70,2.58,6.20,3.70
8,Iowa,Big Ten,8,11,2,7.19,8.76,15.94,38.04,15.70,8.32,6.85,4.81,2.61,6.52,4.44
9,Alabama,SEC (West),11,10,3,5.61,10.20,15.80,34.32,13.67,8.05,6.56,4.43,2.71,6.18,4.11
10,Florida State,ACC,21,9,5,8.99,5.87,14.86,36.86,17.52,7.16,7.20,4.82,3.96,6.25,5.03
11,Penn State,Big Ten,16,9,4,4.78,9.81,14.59,37.11,13.94,6.83,6.12,5.59,2.98,6.52,4.04
12,Washington State,Pac-10,10,10,3,8.63,4.84,13.47,36.13,18.76,7.67,6.22,3.85,3.30,6.33,4.29
13,Michigan,Big Ten,9,10,3,6.91,6.52,13.44,34.62,16.99,6.59,6.74,4.24,3.52,5.73,4.62
14,North Carolina State,ACC,12,11,3,5.18,7.68,12.86,33.32,16.68,6.92,6.19,3.61,3.66,5.64,4.33
15,Maryland,ACC,13,11,3,2.72,10.00,12.73,33.71,16.24,7.56,7.18,4.46,3.75,6.00,4.82
16,Auburn,SEC (West),14,9,4,3.60,8.77,12.36,33.57,14.76,7.75,5.98,4.74,4.06,6.21,4.45
17,Boise State,WAC,15,12,1,5.89,6.39,12.28,38.65,20.85,8.31,6.58,3.99,3.97,6.30,4.65
18,Colorado,Big 12 (North),20,9,5,5.62,6.16,11.77,32.86,16.39,6.01,6.08,4.96,4.45,5.76,4.68
19,Virginia Tech,Big East,18,10,4,3.68,7.48,11.16,33.17,16.86,8.11,7.33,4.34,3.70,5.95,4.88
20,Notre Dame,Ind,17,10,3,-0.59,11.48,10.89,26.92,12.65,6.47,6.09,3.45,2.85,5.07,4.11
21,Arkansas,SEC (West),30,9,5,4.60,5.73,10.33,32.54,18.03,6.39,7.09,4.98,3.50,5.90,4.77
22,California,Pac-10,30,7,5,10.10,0.22,10.32,38.27,22.54,6.75,7.49,3.24,3.65,5.56,4.96
23,Pitt,Big East,19,9,4,1.79,8.20,9.99,28.16,15.39,7.26,6.21,3.39,3.41,5.41,4.25
24,Texas Tech,Big 12 (South),30,9,5,12.38,-2.86,9.53,43.57,28.00,7.00,7.41,3.66,4.57,6.38,5.36
25,Oregon State,Pac-10,30,8,5,2.82,6.62,9.45,34.02,17.87,6.82,5.90,3.91,3.38,5.82,3.97
26,Boston College,Big East,30,9,4,3.14,6.09,9.22,31.48,18.14,6.71,6.61,4.19,4.13,5.81,4.77
27,UCLA,Pac-10,30,8,5,5.04,3.93,8.97,34.15,20.16,8.03,7.06,3.33,4.04,5.73,4.76
28,Virginia,ACC,22,9,5,6.70,1.90,8.60,33.87,22.22,6.84,7.17,3.66,4.43,5.65,5.17
29,Florida,SEC (East),30,8,5,2.08,6.50,8.58,31.30,17.65,6.84,5.89,3.73,3.99,5.85,4.35
30,Wisconsin,Big Ten,30,8,6,4.95,3.60,8.55,30.81,19.90,6.96,7.38,4.19,3.92,5.47,5.06
31,Washington,Pac-10,30,7,6,5.35,3.01,8.36,33.11,20.95,6.76,7.44,2.10,3.45,5.30,4.75
32,LSU,SEC (West),35,8,5,0.38,7.97,8.35,29.13,16.16,5.88,5.57,4.49,4.19,5.46,4.29
33,Purdue,Big Ten,35,7,6,4.57,3.02,7.59,31.82,20.50,6.98,6.48,4.37,3.62,5.92,4.54
34,Tennessee,SEC (East),35,8,5,-1.66,9.06,7.41,26.33,14.99,7.16,6.00,3.67,3.52,5.57,4.08
35,West Virginia,Big East,25,9,4,2.93,4.37,7.30,32.56,20.67,5.84,6.93,4.96,3.85,5.63,4.91
36,South Florida,Ind,35,9,2,0.57,6.55,7.11,29.84,19.55,5.64,7.03,3.15,2.64,4.98,4.30
37,Texas A&M,Big 12 (South),35,6,6,2.94,3.46,6.40,30.39,19.76,6.93,6.54,3.11,3.79,5.55,4.47
38,Iowa State,Big 12 (North),35,7,7,3.17,3.00,6.17,33.54,22.60,7.05,6.39,3.62,4.23,5.63,4.70
39,Texas Christian,CUSA,23,10,2,2.16,3.74,5.90,28.09,21.73,6.04,6.23,3.49,2.55,4.95,3.86
40,Colorado State,MWC,35,10,4,4.23,1.19,5.42,30.42,24.00,6.73,7.22,4.57,4.77,5.85,5.26
1,Miami (FL),Big East,1,12,0,9.65,16.52,26.17,47.54,7.18,8.74,4.79,6.03,2.63,7.70,3.10
2,Florida,SEC (East),3,10,2,11.19,12.19,23.38,48.67,12.16,9.79,4.94,4.94,2.62,8.30,3.29
3,Tennessee,SEC (East),4,11,2,10.03,9.19,19.22,37.80,14.56,8.79,5.87,4.90,1.89,6.98,3.43
4,Texas,Big 12 (South),5,11,2,8.59,10.07,18.67,41.63,14.00,7.83,4.59,4.53,2.57,6.50,3.04
5,Oregon,Pac-10,2,11,1,9.08,7.83,16.92,36.46,17.33,8.44,6.22,5.80,3.01,7.30,4.39
6,Nebraska,Big 12 (North),8,11,2,7.72,8.76,16.48,40.41,14.77,8.66,5.14,6.32,2.92,7.23,3.56
7,Oklahoma,Big 12 (South),6,11,2,3.61,11.78,15.39,33.84,11.38,6.58,5.54,4.16,2.20,5.96,3.34
8,LSU,SEC (West),7,10,3,6.86,7.47,14.33,34.70,17.48,9.09,6.59,4.65,3.03,7.17,4.44
9,Syracuse,Big East,14,10,3,3.56,9.98,13.54,31.99,15.27,8.32,5.93,4.67,3.94,6.14,4.37
10,Colorado,Big 12 (North),9,10,3,9.95,3.49,13.44,37.22,19.98,8.78,5.91,5.42,3.17,7.02,4.17
11,Florida State,ACC,15,8,4,9.71,3.08,12.79,39.28,20.01,9.84,6.22,5.01,3.02,7.48,4.07
12,Illinois,Big Ten,12,10,2,9.52,3.19,12.71,36.27,21.63,8.21,5.55,4.20,3.50,6.42,4.07
13,Michigan,Big Ten,20,8,4,4.25,8.40,12.65,31.38,15.68,7.06,5.02,4.21,2.23,5.95,3.20
14,South Carolina,SEC (East),13,9,3,3.48,8.88,12.36,29.83,16.21,6.90,5.56,5.33,3.20,6.32,3.71
15,UCLA,Pac-10,30,7,4,4.42,7.90,12.32,32.26,16.64,8.88,5.12,4.71,2.92,6.64,3.60
16,Virginia Tech,Big East,18,8,4,2.59,9.57,12.16,34.83,14.11,7.19,5.09,4.76,1.84,6.14,2.90
17,Stanford,Pac-10,16,9,3,12.28,-0.14,12.13,38.32,24.73,8.84,5.99,5.01,3.06,6.86,4.33
18,Washington State,Pac-10,10,10,2,7.50,4.59,12.09,33.78,20.61,8.72,5.89,3.95,3.61,6.54,4.35
19,Georgia,SEC (East),22,8,4,3.46,8.06,11.51,29.98,16.14,8.69,6.18,4.66,2.51,6.94,3.86
20,Maryland,ACC,11,10,2,6.15,4.63,10.78,36.19,20.33,7.29,6.26,5.13,2.41,6.46,3.83
21,Boston College,Big East,21,8,4,4.50,5.78,10.27,31.26,17.83,7.44,6.13,5.86,2.87,6.92,3.82
22,Iowa,Big Ten,30,7,5,5.21,4.75,9.96,35.98,18.42,8.87,6.30,4.71,2.52,6.83,3.68
23,Fresno State,WAC,30,11,3,9.01,0.90,9.90,37.69,24.49,8.97,6.43,4.23,2.79,7.03,4.14
24,Alabama,SEC (West),30,7,5,3.58,6.07,9.66,30.91,17.38,8.34,7.18,5.83,2.71,7.16,4.47
25,Kansas State,Big 12 (North),30,6,6,-0.34,9.97,9.63,32.15,13.34,6.87,5.41,5.09,2.38,6.09,3.36
26,USC,Pac-10,30,6,6,-0.34,9.25,8.92,27.72,13.81,7.91,5.36,3.43,3.19,5.90,3.74
27,Ohio State,Big Ten,30,7,5,2.92,5.64,8.56,29.68,17.93,8.40,6.26,4.67,2.98,6.30,4.01
28,Texas Tech,Big 12 (South),30,7,5,7.13,1.44,8.56,38.14,22.06,7.19,5.78,4.39,3.90,6.81,4.33
29,Louisville,CUSA,17,11,2,-0.12,8.61,8.49,26.63,16.87,7.61,6.29,3.35,3.23,5.88,4.04
30,Arkansas,SEC (West),30,7,5,5.25,3.16,8.40,30.60,21.13,6.63,6.46,4.80,3.37,5.80,4.30
31,Brigham Young,MWC,25,12,2,14.02,-6.06,7.96,42.12,32.11,8.43,7.28,5.81,4.77,7.60,5.35
32,Utah,MWC,35,8,4,0.38,7.49,7.86,27.63,16.43,7.09,6.09,5.09,2.86,6.26,3.92
33,North Carolina,ACC,35,8,5,0.34,7.18,7.52,29.22,17.22,8.43,4.95,3.93,3.05,6.29,3.50
34,Georgia Tech,ACC,24,8,5,3.10,4.00,7.10,32.53,20.06,8.14,6.08,3.80,2.87,6.22,4.03
35,Washington,Pac-10,19,8,4,5.66,1.40,7.07,32.60,25.06,8.86,6.44,3.71,3.78,6.52,4.44
36,North Carolina State,ACC,35,7,5,2.16,4.22,6.38,28.35,19.94,7.37,6.68,4.06,2.93,6.24,4.14
37,Marshall,MAC (East),35,11,2,11.12,-4.80,6.32,36.09,31.08,8.21,7.35,4.88,4.40,7.30,5.04
38,Pitt,Big East,35,7,5,0.97,5.34,6.31,29.36,19.90,7.58,5.76,4.30,2.47,6.29,3.49
39,Michigan State,Big Ten,35,7,5,5.84,0.43,6.26,34.44,23.11,9.12,5.87,4.27,3.89,6.85,4.28
40,Notre Dame,Ind,35,5,6,-1.50,7.50,6.00,25.84,16.02,5.91,6.43,4.89,2.92,5.60,3.95
1,Auburn,SEC (West),1,14,0,16.15,4.52,20.66,46.36,18.58,10.60,6.13,5.84,3.94,7.52,5.19
2,Texas Christian,MWC,2,13,0,5.64,12.32,17.96,41.33,12.25,8.98,4.78,4.26,4.42,6.23,4.49
3,Oregon,Pac-10,3,12,1,13.04,8.50,21.54,51.13,14.36,8.43,5.29,5.28,4.28,6.68,4.71
4,Stanford,Pac-10,4,12,1,11.33,10.47,21.80,45.54,12.56,9.39,5.97,4.55,4.55,6.72,5.17
5,Ohio State,Big Ten,5,12,1,4.66,12.70,17.37,39.18,12.59,8.45,5.12,4.35,3.81,6.09,4.44
6,Oklahoma,Big 12 (South),6,12,2,10.21,6.91,17.11,41.43,17.63,8.09,5.79,2.60,4.73,5.52,5.18
7,Wisconsin,Big Ten,7,11,2,9.19,4.83,14.02,42.36,19.25,9.48,6.41,4.63,5.04,6.39,5.58
8,LSU,SEC (West),8,11,2,6.33,8.80,15.13,34.77,14.81,7.33,5.65,4.22,4.42,5.46,4.82
9,Boise State,WAC,9,12,1,5.85,12.84,18.69,44.94,12.13,9.84,4.95,4.07,4.18,6.92,4.26
10,Alabama,SEC (West),10,10,3,4.12,14.19,18.31,39.34,9.36,9.79,5.37,4.60,3.96,6.93,4.53
11,Nevada,WAC,11,13,1,11.09,0.87,11.96,40.27,23.71,8.59,7.05,4.93,5.52,6.56,6.18
12,Arkansas,SEC (West),12,10,3,11.35,3.13,14.48,41.59,19.80,9.90,6.34,4.29,4.62,7.23,5.24
13,Oklahoma State,Big 12 (South),13,11,2,15.10,1.53,16.62,45.46,22.96,8.54,5.97,4.08,4.53,6.55,5.17
14,Michigan State,Big Ten,14,11,2,4.40,5.51,9.91,31.79,21.05,8.36,6.29,3.63,4.76,5.88,5.50
15,Mississippi State,SEC (West),15,9,4,0.13,8.98,9.11,30.03,14.39,8.49,5.95,3.92,3.91,5.58,4.95
16,Virginia Tech,ACC (Coastal),16,11,3,7.39,6.64,14.03,36.14,17.19,8.59,6.49,4.16,5.57,5.98,5.85
17,Florida State,ACC (Atlantic),17,10,4,6.93,7.27,14.20,36.82,16.63,8.03,6.49,4.42,4.38,6.07,5.28
18,Missouri,Big 12 (North),18,10,3,3.09,10.89,13.98,32.25,13.90,6.96,5.84,3.78,5.32,5.47,5.43
19,Texas A&M,Big 12 (South),19,9,4,5.10,6.28,11.39,34.34,17.94,7.40,5.77,3.28,4.29,5.42,4.90
20,Nebraska,Big 12 (North),20,10,4,4.04,8.81,12.85,32.54,15.50,7.77,5.64,4.43,5.07,5.82,5.04
21,UCF,CUSA (East),21,11,3,-1.62,7.41,5.79,26.95,18.33,8.39,6.34,3.36,4.65,5.19,5.38
22,South Carolina,SEC (East),22,9,5,5.77,7.20,12.97,35.43,16.75,9.01,6.42,3.81,3.71,6.11,5.05
23,Maryland,ACC (Atlantic),23,9,4,2.77,4.25,7.02,33.76,20.85,7.31,5.91,3.43,4.21,5.32,5.07
24,Tulsa,CUSA (West),24,10,3,8.93,-3.97,4.95,36.33,30.00,7.71,8.33,4.16,5.23,5.89,6.65
25,North Carolina State,ACC (Atlantic),25,9,4,6.34,4.66,11.00,35.20,19.44,7.06,7.11,2.98,4.15,5.16,5.56
26,Akron,MAC (East),,1,11,-12.16,-9.38,-21.54,12.95,39.92,4.91,9.47,2.42,5.70,3.71,7.15
27,Memphis,CUSA (East),,1,11,-13.88,-5.55,-19.43,13.09,38.73,7.00,9.37,1.96,5.19,4.37,6.89
28,Buffalo,MAC (East),,2,10,-14.70,-4.50,-19.20,9.78,32.90,4.70,7.21,1.72,5.02,3.28,5.77
29,Eastern Michigan,MAC (West),,2,10,-7.24,-11.83,-19.07,18.15,47.42,6.54,9.38,3.04,7.38,4.49,8.03
30,New Mexico State,WAC,,2,10,-10.39,-7.74,-18.13,14.36,39.10,5.49,7.64,2.14,7.19,3.84,7.11
1,Alabama,SEC (West),1,8,0,10.39,15.13,25.51,100.00,-57.71,19.65,-2.06,10.23,-1.69,13.32,-1.14
2,Georgia,SEC (East),6,7,1,9.10,13.84,22.94,100.00,-58.44,16.92,-2.26,11.00,-0.80,12.79,-0.79
3,Michigan,Big Ten (East),5,7,1,5.99,16.79,22.77,100.00,-56.14,15.18,-2.19,10.27,-2.13,11.60,-1.71
4,Clemson,ACC (Atlantic),2,8,0,5.80,16.32,22.12,100.00,-60.04,14.72,-0.78,11.66,-2.57,12.30,-1.25
5,LSU,SEC (West),3,7,1,8.36,13.63,21.99,100.00,-60.83,14.85,-1.76,9.81,-1.87,11.32,-1.12
6,Oklahoma,Big 12,7,7,1,18.24,2.64,20.87,100.00,-42.95,19.53,0.23,11.52,-1.39,14.37,0.05
7,Notre Dame,Ind,4,8,0,8.67,8.95,17.62,100.00,-49.79,15.07,-1.28,9.09,-1.44,11.07,-0.71
8,Iowa,Big Ten (West),16,6,2,4.83,11.94,16.77,100.00,-53.82,14.37,-0.45,9.11,-2.58,10.90,-0.86
9,Kentucky,SEC (East),9,7,1,1.19,15.30,16.49,100.00,-60.75,14.22,-1.25,10.82,-2.15,11.48,-1.03
10,West Virginia,Big 13,12,6,1,7.87,7.97,15.85,100.00,-51.84,17.46,-0.04,9.24,-1.08,12.59,-0.09
11,Fresno State,MWC (West),23,7,1,2.34,12.71,15.05,100.00,-54.68,15.42,-0.68,8.84,-1.20,11.34,-0.36
12,Florida,SEC (East),11,6,2,6.31,8.68,14.99,100.00,-54.11,15.23,-1.37,10.34,-1.10,11.81,-0.66
13,Ohio State,Big Ten (East),10,7,1,9.44,5.39,14.83,100.00,-45.23,15.91,1.21,8.90,-0.73,11.87,0.84
14,Penn State,Big Ten (East),14,6,2,9.04,5.34,14.38,100.00,-47.34,14.10,-0.89,11.10,-1.06,11.73,-0.43
15,UCF,American (East),12,7,0,7.52,6.46,13.98,100.00,-49.05,14.33,0.06,10.54,-0.98,11.66,-0.05
16,Mississippi State,SEC (West),18,5,3,-1.62,15.30,13.69,100.00,-59.95,14.56,-1.80,11.26,-2.36,12.01,-1.33
17,Utah,Pac-12 (South),15,6,2,3.59,9.93,13.52,100.00,-51.51,15.25,-1.27,9.94,-1.80,11.67,-0.96
18,Iowa State,Big 12,24,4,3,4.45,8.51,12.95,100.00,-52.74,15.54,-1.02,9.17,-2.29,11.43,-1.14
19,Purdue,Big Ten (West),35,4,4,4.40,7.99,12.38,100.00,-49.86,14.83,-0.09,10.55,-0.97,12.09,0.21
20,South Carolina,SEC (East),30,4,3,6.26,5.37,11.63,100.00,-49.63,14.36,-1.66,10.01,-1.24,11.30,-0.71
21,Washington State,Pac-12 (North),8,7,1,11.32,0.11,11.43,100.00,-42.04,14.73,-0.36,8.21,-0.36,11.79,0.11
22,Texas Tech,Big 12,30,5,3,8.32,2.98,11.30,100.00,-47.71,14.90,-0.57,9.02,-1.17,11.49,-0.17
23,Missouri,SEC (East),35,4,4,12.16,-0.90,11.26,100.00,-46.11,15.78,0.69,9.98,-2.20,12.01,0.00
24,Texas,Big 12,17,6,2,6.41,4.81,11.22,100.00,-46.43,14.52,-0.21,8.61,-1.70,10.87,-0.31
25,Army,Ind,35,6,2,-0.05,10.87,10.83,98.37,-51.02,17.51,0.62,9.26,-0.30,10.21,0.89
26,Texas A&M,SEC (West),20,5,3,4.55,5.88,10.43,100.00,-53.81,15.45,1.17,10.47,-2.43,12.14,0.29
27,Michigan State,Big Ten (East),30,5,3,0.77,9.64,10.41,95.62,-51.68,14.12,0.22,8.27,-2.49,10.61,-0.18
28,Syracuse,ACC (Atlantic),19,6,2,13.11,-3.05,10.06,100.00,-40.89,13.71,0.83,9.69,-0.78,10.91,0.54
29,Utah State,MWC (Mountain),30,7,1,8.99,0.89,9.87,100.00,-42.22,14.33,-0.12,10.21,-0.87,11.55,0.08
30,Auburn,SEC (West),35,5,3,0.17,9.61,9.77,100.00,-55.81,14.99,-0.97,9.68,-1.84,11.38,-0.80
31,Washington,Pac-12 (North),35,6,3,-0.42,10.04,9.62,98.45,-53.77,16.19,-1.38,9.58,-1.28,11.90,-0.79
32,Wisconsin,Big Ten (West),35,5,3,3.10,6.19,9.29,100.00,-45.65,14.05,0.28,11.46,0.27,11.94,0.78
33,Miami (FL),ACC (Coastal),35,5,3,0.98,8.29,9.27,100.00,-51.91,14.22,-1.50,9.84,-1.70,11.12,-1.13
34,Houston,American (West),30,7,1,15.35,-6.45,8.90,100.00,-35.60,15.45,1.53,10.71,-1.30,12.43,0.66
35,Boston College,ACC (Atlantic),22,6,2,5.88,2.59,8.47,100.00,-46.68,15.25,-0.80,9.42,-0.98,11.02,-0.44
36,Appalachian State,Sun Belt,35,5,2,0.33,8.11,8.44,100.00,-51.09,14.55,-1.86,10.83,-1.55,11.76,-0.85
37,Northwestern,Big Ten (West),35,5,3,4.96,3.34,8.30,97.76,-44.38,13.66,0.01,7.70,-0.86,10.13,0.18
38,North Carolina State,ACC (Atlantic),21,5,2,3.83,4.35,8.18,100.00,-47.12,15.63,1.31,8.78,-1.82,11.62,0.71
39,Virginia,ACC (Coastal),25,6,2,-0.64,8.66,8.02,96.28,-51.72,13.79,0.03,9.65,-1.16,10.79,0.08
